%Infos : 
%Everything is in %.
%-1 : the person has no activity in the given category (ex : -1 for 'possible in' ==> the person does not have a 'possible in').
%The ID '0' corresponds to no one in particular (could be the patient or visitors).



      |                      SHA taken                        |            SHA not taken            |
      |_______________________________________________________|_____________________________________|
  ID  |           sure            |       possible            |                 sure                |
      |___________________________|___________________________|_____________________________________|
      |   in   |   out  |  inout  |   in   |   out  |  inout  |     in     |     out    |   inout   |
  753 |  41.94 |  39.29 |   0.00  | 100.00 | 100.00 |  -1.00  |    58.06   |    60.71   |   100.00  |
  754 |  21.75 |  44.19 |  40.54  | 100.00 | 100.00 | 100.00  |    78.25   |    55.81   |    59.46  |
  755 |  13.62 |  19.60 |  13.77  | 100.00 | 100.00 | 100.00  |    86.38   |    80.40   |    86.23  |
  756 |  33.33 |  33.33 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |    66.67   |    66.67   |    -1.00  |
  761 |  24.17 |  35.70 |  26.30  | 100.00 | 100.00 |  -1.00  |    75.83   |    64.30   |    73.70  |
  763 |   0.00 |   0.00 |   0.00  | 100.00 | 100.00 |  -1.00  |   100.00   |   100.00   |   100.00  |
  804 |  21.22 |  28.12 |  25.21  | 100.00 | 100.00 | 100.00  |    78.78   |    71.88   |    74.79  |
  811 |  68.31 |  52.04 |  71.43  | 100.00 | 100.00 | 100.00  |    31.69   |    47.96   |    28.57  |
  812 |  17.25 |  22.82 |  21.88  | 100.00 | 100.00 | 100.00  |    82.75   |    77.18   |    78.12  |
  813 |  80.00 |  55.00 |  75.00  |  -1.00 |  -1.00 |  -1.00  |    20.00   |    45.00   |    25.00  |
  814 |  47.17 |  47.31 |  61.80  | 100.00 | 100.00 | 100.00  |    52.83   |    52.69   |    38.20  |
  816 |  33.35 |  50.76 |  57.53  | 100.00 | 100.00 | 100.00  |    66.65   |    49.24   |    42.47  |
  817 |  76.92 |  56.66 |  87.50  | 100.00 | 100.00 | 100.00  |    23.08   |    43.34   |    12.50  |
  818 |  63.45 |  57.21 |  87.30  | 100.00 | 100.00 | 100.00  |    36.55   |    42.79   |    12.70  |
  819 |  33.75 |  38.78 |  41.07  | 100.00 | 100.00 | 100.00  |    66.25   |    61.22   |    58.93  |
  820 |   9.51 |  10.76 |  12.03  | 100.00 | 100.00 | 100.00  |    90.49   |    89.24   |    87.97  |
  821 |  17.03 |  20.65 |  14.81  | 100.00 | 100.00 | 100.00  |    82.97   |    79.35   |    85.19  |
  822 |  32.63 |  22.02 |  30.95  | 100.00 | 100.00 | 100.00  |    67.37   |    77.98   |    69.05  |
  823 |  22.80 |  22.25 |  17.37  | 100.00 | 100.00 | 100.00  |    77.20   |    77.75   |    82.63  |
  824 |  71.05 |  40.28 |  82.05  | 100.00 | 100.00 |  -1.00  |    28.95   |    59.72   |    17.95  |
  828 |   9.28 |  15.22 |  12.50  |  -1.00 | 100.00 |  -1.00  |    90.72   |    84.78   |    87.50  |
  849 |  77.42 |  60.11 |  92.98  | 100.00 | 100.00 |  -1.00  |    22.58   |    39.89   |     7.02  |
  853 |  30.80 |  42.17 |  36.52  | 100.00 | 100.00 | 100.00  |    69.20   |    57.83   |    63.48  |
  857 |  25.68 |  43.41 |  43.77  | 100.00 | 100.00 |  -1.00  |    74.32   |    56.59   |    56.23  |
  864 |  74.04 |  61.50 |  76.82  | 100.00 | 100.00 | 100.00  |    25.96   |    38.50   |    23.18  |
  871 |  41.66 |  43.49 |  52.03  | 100.00 | 100.00 | 100.00  |    58.34   |    56.51   |    47.97  |
  900 |  69.09 |  60.43 |  74.96  | 100.00 | 100.00 | 100.00  |    30.91   |    39.57   |    25.04  |
  902 |  12.70 |  34.62 |  29.67  | 100.00 | 100.00 |  -1.00  |    87.30   |    65.38   |    70.33  |
  903 |   4.35 |   8.70 |   0.00  |  -1.00 |  -1.00 |  -1.00  |    95.65   |    91.30   |   100.00  |
  904 |  11.11 |  22.73 |  20.00  | 100.00 | 100.00 |  -1.00  |    88.89   |    77.27   |    80.00  |
  905 |  17.52 |  24.60 |  19.78  | 100.00 | 100.00 | 100.00  |    82.48   |    75.40   |    80.22  |
  906 |  34.29 |  42.42 |   0.00  |  -1.00 | 100.00 |  -1.00  |    65.71   |    57.58   |   100.00  |
  907 |  54.58 |  44.79 |  56.48  | 100.00 | 100.00 | 100.00  |    45.42   |    55.21   |    43.52  |
  908 |  74.05 |  54.69 |  76.94  | 100.00 | 100.00 | 100.00  |    25.95   |    45.31   |    23.06  |
  909 |  61.70 |  59.52 |  95.24  |  -1.00 | 100.00 |  -1.00  |    38.30   |    40.48   |     4.76  |
  910 |  61.90 |  55.71 |  85.19  | 100.00 | 100.00 | 100.00  |    38.10   |    44.29   |    14.81  |
  911 |  50.27 |  50.56 |  60.38  | 100.00 | 100.00 |  -1.00  |    49.73   |    49.44   |    39.62  |
  912 |  69.01 |  44.29 |  88.89  |  -1.00 | 100.00 |  -1.00  |    30.99   |    55.71   |    11.11  |
  913 |  76.03 |  66.67 |  80.77  | 100.00 | 100.00 |  -1.00  |    23.97   |    33.33   |    19.23  |
  914 |  60.77 |  44.96 |  71.43  | 100.00 | 100.00 | 100.00  |    39.23   |    55.04   |    28.57  |
  915 |  24.31 |  44.88 |  38.28  | 100.00 | 100.00 | 100.00  |    75.69   |    55.12   |    61.72  |
  917 |  68.56 |  60.55 |  71.07  | 100.00 | 100.00 |  -1.00  |    31.44   |    39.45   |    28.93  |
  918 |  28.32 |  43.75 |  41.56  | 100.00 | 100.00 | 100.00  |    71.68   |    56.25   |    58.44  |
  919 |  15.13 |  12.93 |  17.86  |  -1.00 | 100.00 |  -1.00  |    84.87   |    87.07   |    82.14  |
  920 |  -1.00 |  -1.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |    -1.00   |    -1.00   |   100.00  |
  921 |  35.94 |  42.95 |  55.28  | 100.00 | 100.00 | 100.00  |    64.06   |    57.05   |    44.72  |
  922 |  55.95 |  51.36 |  58.26  | 100.00 | 100.00 |  -1.00  |    44.05   |    48.64   |    41.74  |
  924 |  66.40 |  65.71 |  73.85  | 100.00 | 100.00 | 100.00  |    33.60   |    34.29   |    26.15  |
  925 |  59.34 |  48.50 |  77.06  | 100.00 | 100.00 | 100.00  |    40.66   |    51.50   |    22.94  |
  926 |  44.53 |  56.14 |  56.96  | 100.00 | 100.00 |  -1.00  |    55.47   |    43.86   |    43.04  |
  927 |  62.07 |  59.88 |  66.67  | 100.00 | 100.00 |  -1.00  |    37.93   |    40.12   |    33.33  |
  929 |  60.98 |  50.00 |  63.64  | 100.00 | 100.00 |  -1.00  |    39.02   |    50.00   |    36.36  |
  932 |   0.00 | 100.00 |  -1.00  | 100.00 | 100.00 |  -1.00  |   100.00   |     0.00   |    -1.00  |
  936 |   0.00 | 100.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |     0.00   |    -1.00  |
  938 |  91.67 |  60.00 |  80.00  |  -1.00 | 100.00 |  -1.00  |     8.33   |    40.00   |    20.00  |
