"ID";"total activity in";"total activity out";"total activity inout";"SHA in percent";"SHA in number";"SHA out percent";"SHA out number";"SHA inout percent";"SHA inout number";"SHA not taken in percent";"SHA not taken in number";"SHA not taken out percent";"SHA not taken out number";"SHA not taken inout percent";"SHA not taken inout number";"IN_NO_ALARM percent";"IN_NO_ALARM number";"IN_AFTER_ALARM percent";"IN_AFTER_ALARM number";"IN_DURING_ALARM percent";"IN_DURING_ALARM number";"NOT_IN_NO_ALARM percent";"NOT_IN_NO_ALARM number";"NOT_IN_ALARM percent";"NOT_IN_ALARM number";"OUT_NO_ALARM percent";"OUT_NO_ALARM number";"OUT_AFTER_ALARM percent";"OUT_AFTER_ALARM number";"OUT_DURING_ALARM percent";"OUT_DURING_ALARM number";"NOT_OUT_NO_ALARM percent";"NOT_OUT_NO_ALARM number";"NOT_OUT_ALARM percent";"NOT_OUT_ALARM number";"INOUT_NO_ALARM percent";"INOUT_NO_ALARM number";"INOUT_AFTER_ALARM percent";"INOUT_AFTER_ALARM number";"INOUT_DURING_ALARM percent";"INOUT_DURING_ALARM number";"NOT_INOUT_NO_ALARM percent";"NOT_INOUT_NO_ALARM number";"NOT_INOUT_ALARM percent";"NOT_INOUT_ALARM number";"ABANDON_IN percent";"ABANDON_IN number";"ABANDON_OUT percent";"ABANDON_OUT number";"ABANDON_INOUT percent";"ABANDON_INOUT number";"IMPOSSIBLE percent";"IMPOSSIBLE number";
"534";"30";"30";"17";"43.33";"13";"43.33";"13";"58.82";"10";"56.67";"17";"56.67";"17";"41.18";"7";"40.00";"12";"3.33";"1";"0.00";"0";"30.00";"9";"26.67";"8";"40.00";"12";"3.33";"1";"0.00";"0";"20.00";"6";"36.67";"11";"58.82";"10";"0.00";"0";"0.00";"0";"17.65";"3";"23.53";"4";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"581";"72";"64";"12";"66.67";"48";"51.56";"33";"91.67";"11";"33.33";"24";"48.44";"31";"8.33";"1";"63.89";"46";"2.78";"2";"0.00";"0";"18.06";"13";"15.28";"11";"46.88";"30";"4.69";"3";"0.00";"0";"28.12";"18";"20.31";"13";"83.33";"10";"8.33";"1";"0.00";"0";"8.33";"1";"0.00";"0";"21.43";"3";"78.57";"11";"0.00";"0";"0.00";"0"
"598";"5";"5";"0";"80.00";"4";"20.00";"1";"0.00";"0";"20.00";"1";"80.00";"4";"0.00";"0";"60.00";"3";"20.00";"1";"0.00";"0";"20.00";"1";"0.00";"0";"20.00";"1";"0.00";"0";"0.00";"0";"80.00";"4";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"605";"7";"8";"0";"28.57";"2";"25.00";"2";"0.00";"0";"71.43";"5";"75.00";"6";"0.00";"0";"0.00";"0";"0.00";"0";"28.57";"2";"42.86";"3";"28.57";"2";"0.00";"0";"12.50";"1";"12.50";"1";"37.50";"3";"37.50";"3";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"66.67";"2";"33.33";"1";"0.00";"0";"0.00";"0"
"611";"2";"2";"1";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"100.00";"2";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"620";"78";"77";"19";"80.77";"63";"59.74";"46";"89.47";"17";"19.23";"15";"40.26";"31";"10.53";"2";"69.23";"54";"10.26";"8";"1.28";"1";"11.54";"9";"7.69";"6";"59.74";"46";"0.00";"0";"0.00";"0";"24.68";"19";"15.58";"12";"89.47";"17";"0.00";"0";"0.00";"0";"5.26";"1";"5.26";"1";"37.50";"3";"50.00";"4";"12.50";"1";"0.00";"0"
"685";"35";"36";"15";"37.14";"13";"41.67";"15";"26.67";"4";"62.86";"22";"58.33";"21";"73.33";"11";"28.57";"10";"5.71";"2";"2.86";"1";"42.86";"15";"20.00";"7";"27.78";"10";"2.78";"1";"11.11";"4";"19.44";"7";"38.89";"14";"20.00";"3";"0.00";"0";"6.67";"1";"53.33";"8";"20.00";"3";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0"
"688";"2";"2";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"694";"3";"2";"1";"0.00";"0";"0.00";"0";"100.00";"1";"100.00";"3";"100.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"66.67";"2";"33.33";"1";"0.00";"0";"0.00";"0";"0.00";"0";"50.00";"1";"50.00";"1";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0"
"697";"234";"212";"47";"85.04";"199";"55.19";"117";"91.49";"43";"14.96";"35";"44.81";"95";"8.51";"4";"82.48";"193";"0.85";"2";"1.71";"4";"8.12";"19";"6.84";"16";"51.89";"110";"1.42";"3";"1.89";"4";"38.68";"82";"6.13";"13";"85.11";"40";"6.38";"3";"0.00";"0";"2.13";"1";"6.38";"3";"24.00";"12";"68.00";"34";"8.00";"4";"0.00";"0"
