ID;total activity in;total activity out;total activity inout;SHA in percent;SHA in number;SHA out percent;SHA out number;SHA inout percent;SHA inout number;SHA not taken in percent;SHA not taken in number;SHA not taken out percent;SHA not taken out number;SHA not taken inout percent;SHA not taken inout number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;ABANDON_IN percent;ABANDON_IN number;ABANDON_OUT percent;ABANDON_OUT number;ABANDON_INOUT percent;ABANDON_INOUT number;IMPOSSIBLE percent;IMPOSSIBLE number
5;1;0;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0
402;1;1;0;100.00;1;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
404;375;365;72;26.13;98;58.36;213;29.17;21;73.87;277;41.64;152;70.83;51;19.73;74;6.40;24;0.00;0;25.07;94;48.80;183;48.77;178;9.59;35;0.00;0;28.22;103;13.42;49;27.78;20;1.39;1;0.00;0;58.33;42;12.50;9;27.27;6;72.73;16;0.00;0;0.00;0
412;10;14;7;70.00;7;14.29;2;28.57;2;30.00;3;85.71;12;71.43;5;20.00;2;10.00;1;40.00;4;10.00;1;20.00;2;7.14;1;0.00;0;7.14;1;78.57;11;7.14;1;0.00;0;0.00;0;28.57;2;42.86;3;28.57;2;83.33;5;16.67;1;0.00;0;0.00;0
425;7;7;1;42.86;3;71.43;5;0.00;0;57.14;4;28.57;2;100.00;1;42.86;3;0.00;0;0.00;0;0.00;0;57.14;4;57.14;4;14.29;1;0.00;0;0.00;0;28.57;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
435;60;50;18;16.67;10;42.00;21;72.22;13;83.33;50;58.00;29;27.78;5;13.33;8;1.67;1;1.67;1;65.00;39;18.33;11;38.00;19;0.00;0;4.00;2;42.00;21;16.00;8;66.67;12;0.00;0;5.56;1;27.78;5;0.00;0;25.00;6;66.67;16;8.33;2;0.00;0
446;48;45;16;20.83;10;44.44;20;62.50;10;79.17;38;55.56;25;37.50;6;12.50;6;4.17;2;4.17;2;56.25;27;22.92;11;31.11;14;8.89;4;4.44;2;42.22;19;13.33;6;43.75;7;0.00;0;18.75;3;25.00;4;12.50;2;39.13;9;52.17;12;8.70;2;0.00;0
501;68;61;18;48.53;33;62.30;38;55.56;10;51.47;35;37.70;23;44.44;8;42.65;29;1.47;1;4.41;3;44.12;30;7.35;5;55.74;34;6.56;4;0.00;0;29.51;18;8.20;5;50.00;9;0.00;0;5.56;1;38.89;7;5.56;1;11.11;1;88.89;8;0.00;0;0.00;0
530;5635;5507;1434;9.78;551;16.60;914;5.86;84;90.22;5084;83.40;4593;94.14;1350;5.68;320;2.41;136;1.69;95;35.21;1984;55.01;3100;12.42;684;2.42;133;1.76;97;45.63;2513;37.77;2080;3.77;54;0.49;7;1.60;23;71.27;1022;22.87;328;36.96;197;60.98;325;2.06;11;0.00;0
534;28;28;7;35.71;10;71.43;20;42.86;3;64.29;18;28.57;8;57.14;4;32.14;9;3.57;1;0.00;0;10.71;3;53.57;15;67.86;19;3.57;1;0.00;0;21.43;6;7.14;2;42.86;3;0.00;0;0.00;0;42.86;3;14.29;1;0.00;0;0.00;0;0.00;0;0.00;0
