ID;total activity in sure;total activity in possible;total activity out sure;total activity out possible;total activity inout sure;total activity inout possible;SHA in sure percent;SHA in sure number;SHA out sure percent;SHA out sure number;SHA inout sure percent;SHA inout sure number;SHA not taken in sure percent;SHA not taken in sure number;SHA not taken out sure percent;SHA not taken out sure number;SHA not taken inout sure percent;SHA not taken inout sure number;SHA in possible number;SHA out possible number;SHA inout possible number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;IN_POSSIBLE_NO_ALARM percent;IN_POSSIBLE_NO_ALARM number;IN_POSSIBLE_AFTER_ALARM percent;IN_POSSIBLE_AFTER_ALARM number;IN_POSSIBLE_DURING_ALARM percent;IN_POSSIBLE_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;IN_WEIRD_SUR percent;IN_WEIRD_SUR number;IN_WEIRD_POSSIBLE percent;IN_WEIRD_POSSIBLE number;IN_IMPOSSIBLE_SUR percent;IN_IMPOSSIBLE_SUR number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;OUT_POSSIBLE_NO_ALARM percent;OUT_POSSIBLE_NO_ALARM number;OUT_POSSIBLE_AFTER_ALARM percent;OUT_POSSIBLE_AFTER_ALARM number;OUT_POSSIBLE_DURING_ALARM percent;OUT_POSSIBLE_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;OUT_WEIRD_SUR percent;OUT_WEIRD_SUR number;OUT_WEIRD_POSSIBLE percent;OUT_WEIRD_POSSIBLE number;OUT_IMPOSSIBLE_SUR percent;OUT_IMPOSSIBLE_SUR number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;INOUT_POSSIBLE_NO_ALARM percent;INOUT_POSSIBLE_NO_ALARM number;INOUT_POSSIBLE_AFTER_ALARM percent;INOUT_POSSIBLE_AFTER_ALARM number;INOUT_POSSIBLE_DURING_ALARM percent;INOUT_POSSIBLE_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;INOUT_WEIRD_SUR percent;INOUT_WEIRD_SUR number;INOUT_WEIRD_POSSIBLE percent;INOUT_WEIRD_POSSIBLE number;INOUT_IMPOSSIBLE_SUR percent;INOUT_IMPOSSIBLE_SUR number
864;6747;76;6549;274;1252;4;48.01;3239;43.01;2817;52.40;656;50.07;3378;53.38;3496;46.88;587;55;214;2;90.00;2915;10.00;324;0.00;0;41.82;23;56.36;31;1.82;1;62.97;2127;37.03;1251;0.02;167;0.28;21;0.00;0;90.24;2542;9.73;274;0.04;1;78.50;168;21.03;45;0.47;1;62.79;2195;37.21;1301;0.04;273;0.22;60;0.00;0;97.26;638;2.74;18;0.00;0;100.00;2;0.00;0;0.00;0;60.65;356;39.35;231;0.01;12;0.50;2;0.00;0
871;2557;12;2536;33;413;0;31.68;810;33.99;862;38.98;161;67.27;1720;63.80;1618;61.50;254;10;27;0;86.54;701;13.46;109;0.00;0;10.00;1;90.00;9;0.00;0;54.59;939;45.41;781;0.02;59;0.17;2;0.00;0;86.19;743;13.81;119;0.00;0;74.07;20;25.93;7;0.00;0;57.79;935;42.21;683;0.03;88;0.18;6;0.00;0;94.41;152;5.59;9;0.00;0;0.00;0;0.00;0;0.00;0;53.54;136;46.46;118;0.00;0;0.00;0;0.00;0
900;2988;47;2850;185;680;1;39.42;1178;44.88;1279;50.59;344;58.67;1753;52.67;1501;48.97;333;41;143;0;80.73;951;19.27;227;0.00;0;31.71;13;68.29;28;0.00;0;48.77;855;51.23;898;0.02;58;0.13;6;0.00;0;84.99;1087;15.01;192;0.00;0;83.22;119;16.78;24;0.00;0;62.76;942;37.24;559;0.02;71;0.23;42;0.00;0;90.70;312;9.30;32;0.00;0;0.00;0;0.00;0;0.00;0;30.33;101;69.67;232;0.00;3;1.00;1;0.00;0
902;487;5;465;27;92;0;8.83;43;29.25;136;25.00;23;89.73;437;69.25;322;77.17;71;4;20;0;72.09;31;27.91;12;0.00;0;50.00;2;50.00;2;0.00;0;40.50;177;59.50;260;0.02;11;0.20;1;0.00;0;81.62;111;18.38;25;0.00;0;55.00;11;45.00;9;0.00;0;41.61;134;58.39;188;0.02;11;0.26;7;0.00;0;78.26;18;21.74;5;0.00;0;0.00;0;0.00;0;0.00;0;22.54;16;77.46;55;0.00;0;0.00;0;0.00;0
903;46;0;46;0;14;0;0.00;0;6.52;3;0.00;0;102.17;47;102.17;47;100.00;14;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;59.57;28;40.43;19;0.07;3;0.00;0;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;0.00;0;57.45;27;42.55;20;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;42.86;6;57.14;8;0.00;0;0.00;0;0.00;0
904;171;4;155;20;34;0;2.92;5;9.68;15;20.59;7;95.32;163;89.68;139;85.29;29;2;13;0;80.00;4;20.00;1;0.00;0;100.00;2;0.00;0;0.00;0;27.61;45;72.39;118;0.02;4;0.50;2;0.00;0;73.33;11;26.67;4;0.00;0;38.46;5;61.54;8;0.00;0;53.24;74;46.76;65;0.01;2;0.35;7;0.00;0;71.43;5;28.57;2;0.00;0;0.00;0;0.00;0;0.00;0;27.59;8;72.41;21;0.00;0;0.00;0;0.00;0
905;3239;100;3084;255;630;2;7.78;252;14.11;435;13.97;88;91.26;2956;84.95;2620;86.03;542;65;201;0;54.37;137;45.63;115;0.00;0;7.69;5;92.31;60;0.00;0;37.11;1097;62.89;1859;0.01;42;0.35;35;0.00;0;75.17;327;24.83;108;0.00;0;66.67;134;32.84;66;0.50;1;49.73;1303;50.27;1317;0.01;40;0.21;54;0.00;0;69.32;61;30.68;27;0.00;0;0.00;0;0.00;0;0.00;0;23.43;127;76.57;415;0.00;0;1.00;2;0.00;0
906;35;0;33;2;2;0;34.29;12;39.39;13;0.00;0;65.71;23;57.58;19;100.00;2;0;2;0;66.67;8;33.33;4;0.00;0;0.00;0;0.00;0;0.00;0;65.22;15;34.78;8;0.00;0;0.00;0;0.00;0;84.62;11;15.38;2;0.00;0;100.00;2;0.00;0;0.00;0;52.63;10;47.37;9;0.03;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0
907;282;5;257;30;108;5;37.23;105;29.57;76;38.89;42;62.77;177;67.32;173;61.11;66;3;25;5;90.48;95;9.52;10;0.00;0;66.67;2;33.33;1;0.00;0;60.45;107;39.55;70;0.00;0;0.40;2;0.00;0;93.42;71;6.58;5;0.00;0;88.00;22;12.00;3;0.00;0;62.43;108;37.57;65;0.03;8;0.17;5;0.00;0;100.00;42;0.00;0;0.00;0;80.00;4;20.00;1;0.00;0;57.58;38;42.42;28;0.00;0;0.00;0;0.00;0
908;1604;24;1519;109;540;8;57.17;917;41.67;633;63.70;344;42.21;677;57.80;878;35.93;194;17;92;6;96.51;885;3.38;31;0.11;1;47.06;8;52.94;9;0.00;0;71.79;486;28.21;191;0.01;11;0.29;7;0.00;0;94.63;599;5.37;34;0.00;0;89.13;82;9.78;9;1.09;1;72.89;640;27.11;238;0.01;9;0.16;17;0.00;0;98.55;339;1.45;5;0.00;0;66.67;4;33.33;2;0.00;0;28.87;56;71.13;138;0.00;2;0.25;2;0.00;0
