ID;total activity in sure;total activity in possible;total activity out sure;total activity out possible;total activity inout sure;total activity inout possible;SHA in sure percent;SHA in sure number;SHA out sure percent;SHA out sure number;SHA inout sure percent;SHA inout sure number;SHA not taken in sure percent;SHA not taken in sure number;SHA not taken out sure percent;SHA not taken out sure number;SHA not taken inout sure percent;SHA not taken inout sure number;SHA in possible number;SHA out possible number;SHA inout possible number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;IN_POSSIBLE_NO_ALARM percent;IN_POSSIBLE_NO_ALARM number;IN_POSSIBLE_AFTER_ALARM percent;IN_POSSIBLE_AFTER_ALARM number;IN_POSSIBLE_DURING_ALARM percent;IN_POSSIBLE_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;IN_WEIRD_SUR percent;IN_WEIRD_SUR number;IN_WEIRD_POSSIBLE percent;IN_WEIRD_POSSIBLE number;IN_IMPOSSIBLE_SUR percent;IN_IMPOSSIBLE_SUR number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;OUT_POSSIBLE_NO_ALARM percent;OUT_POSSIBLE_NO_ALARM number;OUT_POSSIBLE_AFTER_ALARM percent;OUT_POSSIBLE_AFTER_ALARM number;OUT_POSSIBLE_DURING_ALARM percent;OUT_POSSIBLE_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;OUT_WEIRD_SUR percent;OUT_WEIRD_SUR number;OUT_WEIRD_POSSIBLE percent;OUT_WEIRD_POSSIBLE number;OUT_IMPOSSIBLE_SUR percent;OUT_IMPOSSIBLE_SUR number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;INOUT_POSSIBLE_NO_ALARM percent;INOUT_POSSIBLE_NO_ALARM number;INOUT_POSSIBLE_AFTER_ALARM percent;INOUT_POSSIBLE_AFTER_ALARM number;INOUT_POSSIBLE_DURING_ALARM percent;INOUT_POSSIBLE_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;INOUT_WEIRD_SUR percent;INOUT_WEIRD_SUR number;INOUT_WEIRD_POSSIBLE percent;INOUT_WEIRD_POSSIBLE number;INOUT_IMPOSSIBLE_SUR percent;INOUT_IMPOSSIBLE_SUR number
920;0;0;0;0;1;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
921;818;23;771;70;124;1;24.94;204;33.46;258;41.94;52;72.86;596;64.98;501;58.06;72;15;54;1;61.76;126;38.24;78;0.00;0;6.67;1;93.33;14;0.00;0;52.01;310;47.99;286;0.03;21;0.35;8;0.00;0;80.23;207;19.77;51;0.00;0;77.78;42;22.22;12;0.00;0;52.10;261;47.90;240;0.02;15;0.23;16;0.00;0;94.23;49;5.77;3;0.00;0;100.00;1;0.00;0;0.00;0;44.44;32;55.56;40;0.00;0;0.00;0;0.00;0
922;898;34;844;88;115;0;36.19;325;35.07;296;41.74;48;61.25;550;63.98;540;57.39;66;30;78;0;78.15;254;21.85;71;0.00;0;40.00;12;60.00;18;0.00;0;56.55;311;43.45;239;0.03;27;0.12;4;0.00;0;86.82;257;13.18;39;0.00;0;79.49;62;17.95;14;2.56;2;69.63;376;30.37;164;0.01;12;0.11;10;0.00;0;89.58;43;10.42;5;0.00;0;0.00;0;0.00;0;0.00;0;31.82;21;68.18;45;0.01;1;0.00;0;0.00;0
924;1115;10;1075;50;196;0;53.63;598;55.63;598;65.31;128;43.95;490;41.58;447;34.18;67;10;43;0;88.63;530;11.37;68;0.00;0;40.00;4;60.00;6;0.00;0;64.90;318;35.10;172;0.03;28;0.00;0;0.00;0;88.80;531;11.20;67;0.00;0;79.07;34;20.93;9;0.00;0;70.92;317;29.08;130;0.03;31;0.14;7;0.00;0;75.00;96;25.00;32;0.00;0;0.00;0;0.00;0;0.00;0;52.24;35;47.76;32;0.01;1;0.00;0;0.00;0
925;446;29;401;74;228;7;38.57;172;35.16;141;60.09;137;60.76;271;64.59;259;39.91;91;28;66;6;90.70;156;9.30;16;0.00;0;14.29;4;85.71;24;0.00;0;56.83;154;43.17;117;0.01;4;0.03;1;0.00;0;93.62;132;6.38;9;0.00;0;80.30;53;19.70;13;0.00;0;68.73;178;31.27;81;0.00;2;0.11;8;0.00;0;97.81;134;2.19;3;0.00;0;0.00;0;100.00;6;0.00;0;26.37;24;73.63;67;0.00;0;0.14;1;0.00;0
926;246;6;228;24;157;0;33.33;82;49.56;113;49.68;78;65.85;162;49.12;112;49.68;78;5;22;0;89.02;73;10.98;9;0.00;0;0.00;0;100.00;5;0.00;0;44.44;72;55.56;90;0.01;3;0.17;1;0.00;0;91.15;103;8.85;10;0.00;0;72.73;16;27.27;6;0.00;0;58.04;65;41.96;47;0.02;4;0.08;2;0.00;0;96.15;75;3.85;3;0.00;0;0.00;0;0.00;0;0.00;0;7.69;6;92.31;72;0.01;1;0.00;0;0.00;0
927;174;3;162;15;71;1;50.57;88;50.62;82;63.38;45;48.28;84;45.68;74;35.21;25;3;13;1;93.18;82;6.82;6;0.00;0;0.00;0;100.00;3;0.00;0;47.62;40;52.38;44;0.01;2;0.00;0;0.00;0;86.59;71;13.41;11;0.00;0;76.92;10;23.08;3;0.00;0;60.81;45;39.19;29;0.04;6;0.13;2;0.00;0;93.33;42;6.67;3;0.00;0;0.00;0;100.00;1;0.00;0;20.00;5;80.00;20;0.01;1;0.00;0;0.00;0
929;41;4;40;5;11;0;39.02;16;45.00;18;54.55;6;60.98;25;55.00;22;45.45;5;0;5;0;100.00;16;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;84.00;21;16.00;4;0.00;0;1.00;4;0.00;0;100.00;18;0.00;0;0.00;0;60.00;3;40.00;2;0.00;0;50.00;11;50.00;11;0.00;0;0.00;0;0.00;0;100.00;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;40.00;2;60.00;3;0.00;0;0.00;0;0.00;0
932;3;1;3;1;0;0;0.00;0;33.33;1;0.00;0;100.00;3;66.67;2;0.00;0;1;0;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;1.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
936;4;0;4;0;0;0;0.00;0;100.00;4;0.00;0;100.00;4;0.00;0;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
938;12;0;10;2;5;0;83.33;10;60.00;6;60.00;3;16.67;2;40.00;4;40.00;2;0;2;0;100.00;10;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;6;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0
940;10;2;12;0;2;0;30.00;3;58.33;7;0.00;0;70.00;7;41.67;5;100.00;2;2;0;0;100.00;3;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;42.86;3;57.14;4;0.00;0;0.00;0;0.00;0;100.00;7;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;40.00;2;60.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0
945;675;13;665;23;213;1;6.22;42;18.50;123;14.08;30;92.89;627;81.20;540;85.92;183;8;22;0;42.86;18;57.14;24;0.00;0;12.50;1;87.50;7;0.00;0;32.54;204;67.46;423;0.02;12;0.38;5;0.00;0;60.98;75;39.02;48;0.00;0;72.73;16;27.27;6;0.00;0;48.89;264;51.11;276;0.01;8;0.04;1;0.00;0;53.33;16;46.67;14;0.00;0;0.00;0;0.00;0;0.00;0;16.39;30;83.61;153;0.00;0;1.00;1;0.00;0
953;17;0;17;0;3;0;35.29;6;64.71;11;33.33;1;58.82;10;29.41;5;66.67;2;0;0;0;83.33;5;16.67;1;0.00;0;0.00;0;0.00;0;0.00;0;50.00;5;50.00;5;0.06;1;0.00;0;0.00;0;72.73;8;27.27;3;0.00;0;0.00;0;0.00;0;0.00;0;40.00;2;60.00;3;0.06;1;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;50.00;1;50.00;1;0.00;0;0.00;0;0.00;0
954;147;15;135;27;83;7;39.46;58;44.44;60;50.60;42;61.22;90;54.81;74;50.60;42;8;22;5;89.66;52;10.34;6;0.00;0;25.00;2;75.00;6;0.00;0;55.56;50;44.44;40;0.01;1;0.47;7;0.00;0;93.33;56;6.67;4;0.00;0;63.64;14;36.36;8;0.00;0;81.08;60;18.92;14;0.02;3;0.19;5;0.00;0;97.62;41;2.38;1;0.00;0;0.00;0;100.00;5;0.00;0;14.29;6;85.71;36;0.00;0;0.29;2;0.00;0
955;56;6;52;10;32;1;46.43;26;42.31;22;78.12;25;53.57;30;55.77;29;21.88;7;4;9;0;96.15;25;3.85;1;0.00;0;0.00;0;100.00;4;0.00;0;76.67;23;23.33;7;0.00;0;0.33;2;0.00;0;81.82;18;18.18;4;0.00;0;100.00;9;0.00;0;0.00;0;68.97;20;31.03;9;0.02;1;0.10;1;0.00;0;96.00;24;4.00;1;0.00;0;0.00;0;0.00;0;0.00;0;28.57;2;71.43;5;0.00;0;1.00;1;0.00;0
956;74;10;60;24;37;4;45.95;34;66.67;40;70.27;26;52.70;39;33.33;20;29.73;11;8;21;1;94.12;32;5.88;2;0.00;0;25.00;2;75.00;6;0.00;0;71.79;28;28.21;11;0.01;1;0.20;2;0.00;0;95.00;38;5.00;2;0.00;0;90.48;19;9.52;2;0.00;0;85.00;17;15.00;3;0.00;0;0.12;3;0.00;0;100.00;26;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;18.18;2;81.82;9;0.00;0;0.75;3;0.00;0
957;145;1;140;6;33;0;35.17;51;48.57;68;45.45;15;60.69;88;49.29;69;51.52;17;0;5;0;80.39;41;19.61;10;0.00;0;0.00;0;0.00;0;0.00;0;46.59;41;53.41;47;0.04;6;1.00;1;0.00;0;82.35;56;17.65;12;0.00;0;80.00;4;20.00;1;0.00;0;56.52;39;43.48;30;0.02;3;0.17;1;0.00;0;100.00;15;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;23.53;4;76.47;13;0.03;1;0.00;0;0.00;0
958;4;0;4;0;1;0;75.00;3;50.00;2;0.00;0;25.00;1;25.00;1;100.00;1;0;0;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;50.00;1;50.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.25;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0
2379;381;8;361;28;53;1;45.67;174;38.50;139;64.15;34;52.23;199;59.00;213;37.74;20;7;23;0;91.95;160;7.47;13;0.57;1;57.14;4;42.86;3;0.00;0;63.32;126;36.68;73;0.02;9;0.12;1;0.00;0;84.17;117;10.79;15;5.04;7;82.61;19;8.70;2;8.70;2;79.34;169;20.66;44;0.03;10;0.18;5;0.00;0;88.24;30;11.76;4;0.00;0;0.00;0;0.00;0;0.00;0;65.00;13;35.00;7;0.00;0;1.00;1;0.00;0
4341;2;0;2;0;1;0;0.00;0;0.00;0;0.00;0;100.00;2;100.00;2;100.00;1;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
16384;35;1;32;4;14;0;0.00;0;6.25;2;7.14;1;105.71;37;100.00;32;100.00;14;1;4;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;97.30;36;2.70;1;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;93.75;30;6.25;2;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;85.71;12;14.29;2;0.00;0;0.00;0;0.00;0
16640;0;0;0;0;2;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0
16896;0;0;0;0;1;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
20480;1;0;1;0;0;0;100.00;1;0.00;0;0.00;0;100.00;1;200.00;2;0.00;0;0;0;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
30004;5577;27;5466;138;1445;1;48.56;2708;47.20;2580;64.01;925;50.21;2800;51.56;2818;35.57;514;22;118;1;89.11;2413;10.89;295;0.00;0;31.82;7;68.18;15;0.00;0;57.43;1608;42.57;1192;0.02;85;0.19;5;0.00;0;87.83;2266;12.17;314;0.00;0;83.90;99;16.10;19;0.00;0;65.54;1847;34.46;971;0.02;84;0.14;20;0.00;0;90.16;834;9.84;91;0.00;0;100.00;1;0.00;0;0.00;0;43.39;223;56.61;291;0.00;6;0.00;0;0.00;0
