ID;total activity in;total activity out;total activity inout;SHA in percent;SHA in number;SHA out percent;SHA out number;SHA inout percent;SHA inout number;SHA not taken in percent;SHA not taken in number;SHA not taken out percent;SHA not taken out number;SHA not taken inout percent;SHA not taken inout number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;ABANDON_IN percent;ABANDON_IN number;ABANDON_OUT percent;ABANDON_OUT number;ABANDON_INOUT percent;ABANDON_INOUT number;IMPOSSIBLE percent;IMPOSSIBLE number
756;5;5;0;20.00;1;0.00;0;0.00;0;80.00;4;100.00;5;0.00;0;20.00;1;0.00;0;0.00;0;80.00;4;0.00;0;0.00;0;0.00;0;0.00;0;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
761;4125;4062;722;16.95;699;39.61;1609;22.02;159;83.05;3426;60.39;2453;77.98;563;11.37;469;4.73;195;0.85;35;28.70;1184;54.35;2242;31.73;1289;6.89;280;0.98;40;27.18;1104;33.21;1349;17.04;123;4.02;29;0.97;7;57.06;412;20.91;151;39.07;134;57.43;197;3.50;12;0.00;0
763;5;2;1;0.00;0;0.00;0;0.00;0;100.00;5;100.00;2;100.00;1;0.00;0;0.00;0;0.00;0;80.00;4;20.00;1;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;20.00;1;80.00;4;0.00;0;0.00;0
804;848;844;230;20.40;173;31.28;264;16.52;38;79.60;675;68.72;580;83.48;192;14.03;119;4.60;39;1.77;15;32.55;276;47.05;399;26.66;225;3.32;28;1.30;11;35.66;301;33.06;279;15.22;35;0.43;1;0.87;2;66.52;153;16.96;39;46.67;49;50.48;53;2.86;3;0.00;0
811;137;137;13;70.80;97;72.26;99;61.54;8;29.20;40;27.74;38;38.46;5;67.88;93;2.92;4;0.00;0;10.95;15;18.25;25;68.61;94;3.65;5;0.00;0;16.06;22;11.68;16;61.54;8;0.00;0;0.00;0;38.46;5;0.00;0;47.37;9;47.37;9;5.26;1;0.00;0
812;2193;2114;705;14.00;307;24.69;522;9.50;67;86.00;1886;75.31;1592;90.50;638;9.99;219;3.42;75;0.59;13;34.88;765;51.12;1121;21.05;445;3.17;67;0.47;10;42.19;892;33.11;700;7.94;56;0.99;7;0.57;4;65.11;459;25.39;179;33.46;87;63.85;166;2.69;7;0.00;0
813;21;21;0;71.43;15;80.95;17;0.00;0;28.57;6;19.05;4;0.00;0;71.43;15;0.00;0;0.00;0;14.29;3;14.29;3;76.19;16;4.76;1;0.00;0;14.29;3;4.76;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
814;2907;2810;826;42.79;1244;61.53;1729;50.73;419;57.21;1663;38.47;1081;49.27;407;37.25;1083;4.30;125;1.24;36;24.39;709;32.82;954;50.50;1419;9.22;259;1.81;51;24.38;685;14.09;396;43.22;357;6.05;50;1.45;12;35.23;291;14.04;116;33.41;138;56.90;235;9.69;40;0.00;0
816;1226;1198;249;19.90;244;68.86;825;46.99;117;80.10;982;31.14;373;53.01;132;15.17;186;4.73;58;0.00;0;30.59;375;49.51;607;58.93;706;9.77;117;0.17;2;15.78;189;15.36;184;41.37;103;5.62;14;0.00;0;48.19;120;4.82;12;32.18;28;64.37;56;3.45;3;0.00;0
817;149;140;19;77.85;116;77.14;108;73.68;14;22.15;33;22.86;32;26.32;5;72.48;108;4.70;7;0.67;1;12.75;19;9.40;14;72.86;102;4.29;6;0.00;0;16.43;23;6.43;9;73.68;14;0.00;0;0.00;0;21.05;4;5.26;1;35.14;13;59.46;22;5.41;2;0.00;0
