ID;total activity in;total activity out;total activity inout;SHA in percent;SHA in number;SHA out percent;SHA out number;SHA inout percent;SHA inout number;SHA not taken in percent;SHA not taken in number;SHA not taken out percent;SHA not taken out number;SHA not taken inout percent;SHA not taken inout number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;ABANDON_IN percent;ABANDON_IN number;ABANDON_OUT percent;ABANDON_OUT number;ABANDON_INOUT percent;ABANDON_INOUT number;IMPOSSIBLE percent;IMPOSSIBLE number
956;58;57;11;75.86;44;89.47;51;72.73;8;24.14;14;10.53;6;27.27;3;72.41;42;0.00;0;3.45;2;17.24;10;6.90;4;87.72;50;1.75;1;0.00;0;1.75;1;8.77;5;63.64;7;9.09;1;0.00;0;18.18;2;9.09;1;45.71;16;48.57;17;5.71;2;0.00;0
957;126;124;19;42.06;53;66.13;82;63.16;12;57.94;73;33.87;42;36.84;7;31.75;40;10.32;13;0.00;0;12.70;16;45.24;57;58.06;72;8.06;10;0.00;0;20.16;25;13.71;17;57.89;11;5.26;1;0.00;0;15.79;3;21.05;4;37.50;3;62.50;5;0.00;0;0.00;0
958;4;3;1;75.00;3;66.67;2;100.00;1;25.00;1;33.33;1;0.00;0;75.00;3;0.00;0;0.00;0;0.00;0;25.00;1;66.67;2;0.00;0;0.00;0;0.00;0;33.33;1;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0
2379;262;261;114;46.95;123;55.17;144;72.81;83;53.05;139;44.83;117;27.19;31;42.37;111;3.82;10;0.76;2;30.53;80;22.52;59;48.28;126;4.60;12;2.30;6;36.78;96;8.05;21;68.42;78;4.39;5;0.00;0;14.91;17;12.28;14;45.00;18;47.50;19;7.50;3;0.00;0
4341;2;2;1;0.00;0;0.00;0;0.00;0;100.00;2;100.00;2;100.00;1;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
16384;24;23;17;8.33;2;4.35;1;5.88;1;91.67;22;95.65;22;94.12;16;8.33;2;0.00;0;0.00;0;91.67;22;0.00;0;4.35;1;0.00;0;0.00;0;95.65;22;0.00;0;5.88;1;0.00;0;0.00;0;88.24;15;5.88;1;0.00;0;100.00;1;0.00;0;0.00;0
16640;2;2;0;0.00;0;0.00;0;0.00;0;100.00;2;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
16896;0;0;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
20480;1;1;0;0.00;0;0.00;0;0.00;0;100.00;1;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
30004;3995;3936;453;65.08;2600;70.30;2767;65.56;297;34.92;1395;29.70;1169;34.44;156;61.73;2466;2.28;91;1.08;43;14.24;569;20.68;826;61.76;2431;7.22;284;1.32;52;16.26;640;13.44;529;60.71;275;3.53;16;1.32;6;25.61;116;8.83;40;35.24;74;63.33;133;1.43;3;0.00;0
