%Infos :
%Everything after a '%' in the same line is a comment, if you want to write anything put a '%' first !
%The ID '0' corresponds to no one in particular (could be the patient or visitors).

      |                                                              SHA taken                                                               |                                  SHA not taken                                 |
      |______________________________________________________________________________________________________________________________________|________________________________________________________________________________|
  ID  |                                       sure                                     |                     possible                        |                                       sure                                     |
      |________________________________________________________________________________|_____________________________________________________|________________________________________________________________________________|
      |             in           |             out          |           inout          |       in        |       out       |      inout      |             in           |            out           |          inout           |
      |__________________________|__________________________|__________________________|_________________|_________________|_________________|__________________________|__________________________|__________________________|
      |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |    %   |   nb   |    %   |   nb   |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |  total |
______|________|________|______ _|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|________|
    0 |  67.63 |  38807 |  57384 |  69.74 |  40021 |  57384 |  43.92 |  68947 | 156982 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  32.37 |  18577 |  57384 |  30.26 |  17363 |  57384 |  56.08 |  88035 | 156982 | 
    5 | 100.00 |      1 |      1 | 100.00 |      1 |      1 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |      1 |   0.00 |      0 |      1 |   0.00 |      0 |      0 | 
  402 |  60.00 |      3 |      5 | 100.00 |      5 |      5 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  40.00 |      2 |      5 |   0.00 |      0 |      5 |   0.00 |      0 |      0 | 
  404 |  32.24 |    196 |    605 |  47.37 |    288 |    590 |  36.59 |     30 |     82 |   0.00 |      3 |   0.03 |     18 |   0.00 |      0 |  67.27 |    409 |    605 |  49.67 |    302 |    590 |  63.41 |     52 |     82 | 
  412 |  33.33 |      2 |      5 |  16.67 |      1 |      4 |   0.00 |      0 |      0 |   0.17 |      1 |   0.33 |      2 |   0.00 |      0 |  50.00 |      3 |      5 |  50.00 |      3 |      4 |   0.00 |      0 |      0 | 
  425 |  30.00 |      3 |     10 |  40.00 |      4 |     10 | 100.00 |      3 |      3 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  70.00 |      7 |     10 |  60.00 |      6 |     10 |   0.00 |      0 |      3 | 
  435 |  21.97 |     29 |    114 |  21.97 |     29 |     96 |  66.67 |     10 |     13 |   0.14 |     18 |   0.27 |     36 |   0.13 |      2 |  64.39 |     85 |    114 |  50.76 |     67 |     96 |  20.00 |      3 |     13 | 
  446 |  25.22 |     29 |     99 |  18.26 |     21 |     82 |  37.50 |      6 |     15 |   0.14 |     16 |   0.29 |     33 |   0.06 |      1 |  60.87 |     70 |     99 |  53.04 |     61 |     82 |  56.25 |      9 |     15 | 
  501 |  60.87 |     56 |     91 |  51.09 |     47 |     85 |  25.00 |      3 |     12 |   0.01 |      1 |   0.08 |      7 |   0.00 |      0 |  38.04 |     35 |     91 |  41.30 |     38 |     85 |  75.00 |      9 |     12 | 
  530 |  12.13 |   1164 |   9359 |  14.29 |   1371 |   9011 |   9.50 |    130 |   1362 |   0.02 |    235 |   0.06 |    583 |   0.00 |      6 |  85.42 |   8195 |   9359 |  79.63 |   7640 |   9011 |  90.06 |   1232 |   1362 | 
  534 |  44.90 |     22 |     49 |  42.86 |     21 |     48 |  68.00 |     17 |     25 |   0.00 |      0 |   0.02 |      1 |   0.00 |      0 |  55.10 |     27 |     49 |  55.10 |     27 |     48 |  32.00 |      8 |     25 | 
